"Otu00026","Otu00028","Otu00038","Otu00155","Otu00238","Otu00269","Otu00397","Otu00674","Otu01336","Otu01352","Otu01636","Otu01675","Otu01733","Otu02209","Otu02314","Otu02860","Otu02909","Otu02953"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,55,0,92,0,0,263,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
